mrna_crosswalk,py_index
ENSG00000035499,629
ENSG00000164181,630
ENSG00000113595,631
ENSG00000069020,632
ENSG00000134056,633
ENSG00000183323,634
ENSG00000152939,635
ENSG00000183474,636
ENSG00000205572,637
ENSG00000205571,638
ENSG00000226259,639
ENSG00000172058,640
ENSG00000172062,641
ENSG00000145736,642
ENSG00000131844,643
ENSG00000113163,644
ENSG00000145703,645
ENSG00000164220,646
ENSG00000085365,647
ENSG00000164309,648
ENSG00000113296,649
ENSG00000249042,650
ENSG00000205464,651
ENSG00000153140,652
ENSG00000164199,653
ENSG00000113369,654
ENSG00000113391,655
ENSG00000175471,656
ENSG00000174136,657
ENSG00000174132,658
ENSG00000113532,659
ENSG00000145723,660
ENSG00000145725,661
ENSG00000181751,662
ENSG00000112874,663
ENSG00000184349,664
ENSG00000145743,665
ENSG00000164209,666
ENSG00000129595,667
ENSG00000047188,668
ENSG00000172869,669
ENSG00000113083,670
ENSG00000113368,671
ENSG00000138829,672
ENSG00000217128,673
ENSG00000233006,674
ENSG00000197375,675
ENSG00000113522,676
ENSG00000223442,677
ENSG00000164405,678
ENSG00000155329,679
ENSG00000237190,680
ENSG00000181904,681
ENSG00000132570,682
ENSG00000146021,683
ENSG00000112981,684
ENSG00000044115,685
ENSG00000249751,686
ENSG00000184584,687
ENSG00000171604,688
ENSG00000243056,689
ENSG00000113108,690
ENSG00000176087,691
ENSG00000120314,692
ENSG00000112852,693
ENSG00000164620,694
ENSG00000156453,695
ENSG00000013561,696
ENSG00000131507,697
ENSG00000178776,698
ENSG00000173210,699
ENSG00000132912,700
ENSG00000086570,701
ENSG00000082516,702
ENSG00000164330,703
ENSG00000145860,704
ENSG00000164611,705
ENSG00000040275,706
ENSG00000134516,707
ENSG00000043462,708
ENSG00000145936,709
ENSG00000094755,710
ENSG00000204764,711
ENSG00000120129,712
ENSG00000113719,713
ENSG00000253768,714
ENSG00000170085,715
ENSG00000146066,716
ENSG00000131187,717
ENSG00000113758,718
ENSG00000196923,719
ENSG00000184840,720
ENSG00000145911,721
ENSG00000054598,722
ENSG00000124570,723
ENSG00000124787,724
ENSG00000124785,725
ENSG00000124782,726
ENSG00000239264,727
ENSG00000111846,728
ENSG00000197977,729
ENSG00000008083,730
ENSG00000007944,731
ENSG00000230873,732
ENSG00000124795,733
ENSG00000172201,734
ENSG00000112242,735
ENSG00000145996,736
ENSG00000124766,737
ENSG00000079691,738
ENSG00000124610,739
ENSG00000158406,740
ENSG00000186470,741
ENSG00000026950,742
ENSG00000124635,743
ENSG00000196787,744
ENSG00000112812,745
ENSG00000213886,746
ENSG00000204681,747
ENSG00000204642,748
ENSG00000206503,749
ENSG00000204592,750
ENSG00000204574,751
ENSG00000146112,752
ENSG00000137310,753
ENSG00000234745,754
ENSG00000204482,755
ENSG00000204385,756
ENSG00000244731,757
ENSG00000224389,758
ENSG00000168477,759
ENSG00000213654,760
ENSG00000204287,761
ENSG00000196126,762
ENSG00000196735,763
ENSG00000204267,764
ENSG00000168394,765
ENSG00000240065,766
ENSG00000137309,767
ENSG00000186577,768
ENSG00000124664,769
ENSG00000064999,770
ENSG00000146197,771
ENSG00000112033,772
ENSG00000096063,773
ENSG00000112079,774
ENSG00000226976,775
ENSG00000172738,776
ENSG00000164626,777
ENSG00000124731,778
ENSG00000234753,779
ENSG00000137166,780
ENSG00000112559,781
ENSG00000112578,782
ENSG00000124702,783
ENSG00000112655,784
ENSG00000124571,785
ENSG00000172432,786
ENSG00000112715,787
ENSG00000112796,788
ENSG00000146072,789
ENSG00000170915,790
ENSG00000096093,791
ENSG00000065308,792
ENSG00000170899,793
ENSG00000168143,794
ENSG00000112208,795
ENSG00000112742,796
ENSG00000146242,797
ENSG00000065833,798
ENSG00000135318,799
ENSG00000135346,800
ENSG00000188994,801
ENSG00000135334,802
ENSG00000118412,803
ENSG00000123545,804
ENSG00000132423,805
ENSG00000112249,806
ENSG00000085382,807
ENSG00000057657,808
ENSG00000057663,809
ENSG00000130347,810
ENSG00000130349,811
ENSG00000178409,812
ENSG00000025796,813
ENSG00000081087,814
ENSG00000080546,815
ENSG00000155111,816
ENSG00000123505,817
ENSG00000155115,818
ENSG00000197498,819
ENSG00000010810,820
ENSG00000112761,821
ENSG00000196591,822
ENSG00000188820,823
ENSG00000153989,824
ENSG00000164434,825
ENSG00000146373,826
ENSG00000111912,827
ENSG00000203760,828
ENSG00000196569,829
ENSG00000118513,830
ENSG00000135541,831
ENSG00000112357,832
ENSG00000016402,833
ENSG00000112378,834
ENSG00000112379,835
ENSG00000135597,836
ENSG00000233330,837
ENSG00000131019,838
ENSG00000198729,839
ENSG00000120278,840
ENSG00000120254,841
ENSG00000146476,842
ENSG00000120262,843
ENSG00000091831,844
ENSG00000120279,845
ENSG00000112029,846
ENSG00000153721,847
ENSG00000213079,848
ENSG00000146426,849
ENSG00000029639,850
ENSG00000164691,851
ENSG00000112096,852
ENSG00000185127,853
ENSG00000177706,854
ENSG00000164855,855
ENSG00000106003,856
ENSG00000075618,857
ENSG00000106392,858
ENSG00000003147,859
ENSG00000106460,860
ENSG00000006747,861
ENSG00000171243,862
ENSG00000106537,863
ENSG00000106541,864
ENSG00000173467,865
ENSG00000105855,866
ENSG00000122591,867
ENSG00000188732,868
ENSG00000105926,869
ENSG00000070882,870
ENSG00000172115,871
ENSG00000176532,872
ENSG00000240583,873
ENSG00000154678,874
ENSG00000011426,875
ENSG00000122641,876
ENSG00000106571,877
ENSG00000106605,878
ENSG00000136286,879
ENSG00000146674,880
ENSG00000183696,881
ENSG00000106070,882
ENSG00000132434,883
ENSG00000234444,884
ENSG00000173041,885
ENSG00000196247,886
ENSG00000146757,887
ENSG00000158517,888
ENSG00000127946,889
ENSG00000186088,890
ENSG00000135218,891
ENSG00000019991,892
ENSG00000170381,893
ENSG00000164659,894
ENSG00000005469,895
ENSG00000006634,896
ENSG00000127954,897
ENSG00000157214,898
ENSG00000105792,899
ENSG00000157240,900
ENSG00000127914,901
ENSG00000157259,902
ENSG00000127980,903
ENSG00000105810,904
ENSG00000127995,905
ENSG00000004864,906
ENSG00000196636,907
ENSG00000198742,908
ENSG00000176402,909
ENSG00000160862,910
ENSG00000213420,911
ENSG00000106397,912
ENSG00000128581,913
ENSG00000164815,914
ENSG00000005483,915
ENSG00000253276,916
ENSG00000091129,917
ENSG00000006652,918
ENSG00000135269,919
ENSG00000105976,920
ENSG00000135245,921
ENSG00000128595,922
ENSG00000158457,923
ENSG00000128602,924
ENSG00000158467,925
ENSG00000128510,926
ENSG00000158623,927
ENSG00000122786,928
ENSG00000189320,929
ENSG00000182158,930
ENSG00000105948,931
ENSG00000165125,932
ENSG00000178826,933
ENSG00000159840,934
ENSG00000244198,935
ENSG00000106462,936
ENSG00000155660,937
ENSG00000181444,938
ENSG00000133574,939
ENSG00000164885,940
ENSG00000082014,941
ENSG00000196584,942
ENSG00000133627,943
ENSG00000146918,944
ENSG00000117868,945
ENSG00000147364,946
ENSG00000253982,947
ENSG00000091879,948
ENSG00000104643,949
ENSG00000154328,950
ENSG00000186523,951
ENSG00000154359,952
ENSG00000155975,953
ENSG00000003987,954
ENSG00000003989,955
ENSG00000129422,956
ENSG00000104763,957
ENSG00000171428,958
ENSG00000104611,959
ENSG00000147443,960
ENSG00000158863,961
ENSG00000008853,962
ENSG00000134013,963
ENSG00000184661,964
ENSG00000197892,965
ENSG00000120875,966
ENSG00000104671,967
ENSG00000104687,968
ENSG00000104691,969
ENSG00000129696,970
ENSG00000183779,971
ENSG00000147475,972
ENSG00000156675,973
ENSG00000129691,974
ENSG00000085788,975
ENSG00000147535,976
ENSG00000147548,977
ENSG00000165046,978
ENSG00000077782,979
ENSG00000169499,980
ENSG00000131203,981
ENSG00000104332,982
ENSG00000070718,983
ENSG00000104365,984
ENSG00000104738,985
ENSG00000237807,986
ENSG00000187735,987
ENSG00000137547,988
ENSG00000254087,989
ENSG00000169122,990
ENSG00000035681,991
ENSG00000171316,992
ENSG00000137563,993
ENSG00000205268,994
ENSG00000046889,995
ENSG00000147586,996
ENSG00000076554,997
ENSG00000170323,998
ENSG00000123124,999
ENSG00000176623,1000
ENSG00000079102,1001
ENSG00000205133,1002
ENSG00000164953,1003
ENSG00000164949,1004
ENSG00000164938,1005
ENSG00000175895,1006
ENSG00000164920,1007
ENSG00000132549,1008
ENSG00000164919,1009
ENSG00000132554,1010
ENSG00000154188,1011
ENSG00000147642,1012
ENSG00000227170,1013
ENSG00000164754,1014
ENSG00000205002,1015
ENSG00000164756,1016
ENSG00000164758,1017
ENSG00000136999,1018
ENSG00000136982,1019
ENSG00000187955,1020
ENSG00000172164,1021
ENSG00000156804,1022
ENSG00000164983,1023
ENSG00000104549,1024
ENSG00000147697,1025
ENSG00000153310,1026
ENSG00000165071,1027
ENSG00000155926,1028
ENSG00000104419,1029
ENSG00000066827,1030
ENSG00000104472,1031
ENSG00000123908,1032
ENSG00000169398,1033
ENSG00000105339,1034
ENSG00000022567,1035
ENSG00000184489,1036
ENSG00000234616,1037
ENSG00000160886,1038
ENSG00000180155,1039
ENSG00000167656,1040
ENSG00000160932,1041
ENSG00000250571,1042
ENSG00000184428,1043
ENSG00000147813,1044
ENSG00000183309,1045
ENSG00000181135,1046
ENSG00000180900,1047
ENSG00000179950,1048
ENSG00000185189,1049
ENSG00000255224,1050
ENSG00000235173,1051
ENSG00000185803,1052
ENSG00000173137,1053
ENSG00000160949,1054
ENSG00000160972,1055
ENSG00000167701,1056
ENSG00000160957,1057
ENSG00000182307,1058
ENSG00000107104,1059
ENSG00000147852,1060
ENSG00000080608,1061
ENSG00000197646,1062
ENSG00000147872,1063
ENSG00000137145,1064
ENSG00000099810,1065
ENSG00000147889,1066
ENSG00000120162,1067
ENSG00000235453,1068
ENSG00000086062,1069
ENSG00000107262,1070
ENSG00000086065,1071
ENSG00000005238,1072
ENSG00000198853,1073
ENSG00000198467,1074
ENSG00000137103,1075
ENSG00000196196,1076
ENSG00000122694,1077
ENSG00000168795,1078
ENSG00000147912,1079
ENSG00000122741,1080
ENSG00000137124,1081
ENSG00000215126,1082
ENSG00000147996,1083
ENSG00000135046,1084
ENSG00000135002,1085
ENSG00000187210,1086
ENSG00000197969,1087
ENSG00000135069,1088
ENSG00000165105,1089
ENSG00000172159,1090
ENSG00000148057,1091
ENSG00000165113,1092
ENSG00000165118,1093
ENSG00000135052,1094
ENSG00000135070,1095
ENSG00000196730,1096
ENSG00000156345,1097
ENSG00000187742,1098
ENSG00000165030,1099
ENSG00000106809,1100
ENSG00000127080,1101
ENSG00000157303,1102
ENSG00000131669,1103
ENSG00000188938,1104
ENSG00000048828,1105
ENSG00000165140,1106
ENSG00000136943,1107
ENSG00000188801,1108
ENSG00000106789,1109
ENSG00000165138,1110
ENSG00000066697,1111
ENSG00000106701,1112
ENSG00000148143,1113
ENSG00000242631,1114
ENSG00000243444,1115
ENSG00000241978,1116
ENSG00000188959,1117
ENSG00000173258,1118
ENSG00000148154,1119
ENSG00000119471,1120
ENSG00000148225,1121
ENSG00000148218,1122
ENSG00000136883,1123
ENSG00000196739,1124
ENSG00000157693,1125
ENSG00000181634,1126
ENSG00000041982,1127
ENSG00000148219,1128
ENSG00000106780,1129
ENSG00000056558,1130
ENSG00000119396,1131
ENSG00000171448,1132
ENSG00000136944,1133
ENSG00000136828,1134
ENSG00000136895,1135
ENSG00000136856,1136
ENSG00000148356,1137
ENSG00000136854,1138
ENSG00000148346,1139
ENSG00000167113,1140
ENSG00000167157,1141
ENSG00000130707,1142
ENSG00000126878,1143
ENSG00000148290,1144
ENSG00000160325,1145
ENSG00000196422,1146
ENSG00000160345,1147
ENSG00000148400,1148
ENSG00000213213,1149
