id	filename	md5	size	state
01c6a5d1-a064-4fec-86ae-db3f86029333	4fd01cd7-7ff5-4570-891e-747a0c640ddc.FPKM.txt.gz	9ebf5a5b758613bf38b08cf5cd25e109	509047	live
01c84d3b-497e-41e3-86d4-e3cb6021c8bd	39d6716f-d898-494e-9f41-7972de1e6670.htseq.counts.gz	b32f6305861346ca0c980fb439ad6edf	252810	live
01ca4ce4-f8d0-4a72-99e2-9e88b820906b	a19e31ff-1afa-4e25-8c79-28b922052ff2.htseq.counts.gz	302dd1ab3cd7c470e6f6d8a2e47b8b81	250455	live
01cd816c-56e9-40a8-bd0c-eb8c602ded8c	9ce4048c-b607-4677-b874-647e9c29785d.FPKM.txt.gz	601c16074fefc2f77c43faf9d7614b8d	527992	live
01ff4269-5493-41c2-ad00-f7e63149db5f	ee409780-c7aa-455b-a74b-a7f41ce89b26.FPKM-UQ.txt.gz	16289eb35563fd5229ad8587eb1a51d2	537112	live
022145fc-22ef-4a9b-b0f3-1142bccec452	5943b9f4-fd43-46dc-8ebe-a0145e4ee7c3.FPKM.txt.gz	c23c65f296221d53b615cbf4eb076643	530565	live
0232bed6-7ff1-467c-88a2-482836ecde3e	470d1bf7-55b9-4c8c-a3f3-f7ad6c1a4c77.FPKM-UQ.txt.gz	66e9fd6bf6deef466c1945457086ce38	516302	live
023bb073-a26c-48de-ae6b-561daf822794	0d6f8d7e-2709-41be-a986-163c3763724d.FPKM-UQ.txt.gz	2d157c40ecdc41073b137a5eb9272e0d	541410	live
02415e27-7abc-4e58-b7aa-ea7c92fda8e9	ffd7b10e-8c0c-4aeb-81a0-b060108d57fa.FPKM.txt.gz	8bf02eae3ab9057cf981c290f4f602e2	531515	live
025543f9-f6f4-4ae8-8d71-01e805f914c7	d4675ebb-2444-4e2f-ade2-5c5af9882399.FPKM-UQ.txt.gz	4c5db26836c9e9d27f98b89a3ea80cbd	531357	live
026da6b4-3e50-4ddd-ac33-aa526e844813	29aca450-15a5-4d45-bade-ecce8e5a0e8f.FPKM.txt.gz	e7fed5cc40dfcb3d4d19089a09594cd6	508135	live
0276de7f-98a7-40af-99ec-716d6fd57405	a8e5861f-e86c-473d-8ff7-5630532b3c61.FPKM.txt.gz	c0ea72cce54c89268b115e306c9fa4bc	532518	live
02800091-2990-476e-bc00-e179b9494710	f828b2e0-2ad4-4669-9f1e-2ef2dd74706d.htseq.counts.gz	ae24a5c83c95da7b2ae9b5d70c2fe104	247232	live
02a1aabc-844d-4498-9b49-f914cbd05db4	2ac83384-33be-4500-b1fa-9d19eb2de6fe.htseq.counts.gz	c80e6875f2e7423d9a8450c3acb609fd	252042	live
02a9963a-a736-4ce6-ad84-82e84153433c	73f7d513-46c8-4559-86cf-8b789c042e32.htseq.counts.gz	31be0b49dac96e45815a449e6bfab1f1	255913	live
02acf9e4-7fe9-49cb-96e8-0d760299f010	74b61bc0-93ff-43aa-b495-467f54415731.FPKM.txt.gz	c5f9b33b76a71e6818162a6749646dad	539610	live
02b5e40a-f0de-418e-b9b1-2b1b4f2f8c25	b64a6c9f-29af-4af8-a4cc-045a03354fac.FPKM-UQ.txt.gz	fe67463b2aa091884879e7d7e4cbe4b7	492276	live
02bede57-6d7d-441f-9fb9-b4bb1c8d5f4d	ccd1ad3e-4220-41ff-b3a8-bead01b1eaf8.htseq.counts.gz	d29251214ef6092e757b029e11279396	256041	live
02c8cc1a-67ca-4b4b-9363-214472a88a8c	e5661a4c-e183-4935-8536-93c4949e793e.FPKM-UQ.txt.gz	5382111651f407515f2d5178c52c6fe3	523755	live
02cc8488-3267-42c8-8c59-b34dd03a87fe	720b9121-0bc4-4ff8-8a36-f146fea4da3c.FPKM-UQ.txt.gz	983881e1886fcb59b6e4561fadaeb7ba	524494	live
02d10ad1-1fa7-4f7d-94af-4a4b1424e9f8	b44cdb13-1812-4bf6-825e-edae5bc5376a.FPKM.txt.gz	f15e6f45889c14b2e22677c6e2a4008f	520646	live
033393d5-58a2-4513-9e09-bc95a70e0be5	78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.htseq.counts.gz	450ee16aebf7831d501443afc7d194f6	257959	live
03378f59-a81d-4b44-9b41-e64c9c6132cd	d5887901-f651-47bf-a6e3-6656e48588c9.FPKM.txt.gz	e148a6c13c05707764493b15022b1e82	521027	live
034375d5-42e7-469b-a6f3-2d863122f3ca	93c46e63-3686-4883-a9de-7606ddfc11f0.FPKM.txt.gz	d9e8bb49dfe41f6b28abc15b5e234b3e	536698	live
035100b7-f408-40b3-bd80-ff98fdf1b0c7	8b4fd8a6-c6a7-41b4-b052-8212f0ed2972.FPKM.txt.gz	364416f808437c0f4d36f85dfd45a3e8	509789	live
0356f77f-9275-402a-a7a9-2b907a82a207	4fe7951d-87fd-49b7-91d6-1d455415daa1.htseq.counts.gz	45d868bf79c20575a73541c10685162a	251638	live
035821a1-8846-4727-b9a0-a2362a797712	2d721010-840f-4ca7-b41c-6792385b410d.FPKM-UQ.txt.gz	13dcebce82ec1fb0c3ed012d57e0c80d	504003	live
0389c08d-927d-4254-8d7f-f44963594db3	2826bcb9-5ddb-49c5-96fd-a3dba5885e7a.htseq.counts.gz	c4f5255f3e0d553ac2a2dbfd4eae8610	257186	live
038dae03-2315-4a62-a454-7a1062017b00	24d7f10a-ac34-4f7e-8424-d2fc0d32ac58.htseq.counts.gz	f18bb6e3f23e6925d558720cbed202ef	254268	live
039648fe-aee6-48c2-961e-fb157ad71cfc	03895e36-d4e0-4849-a0f1-26550373338d.htseq.counts.gz	03aee1fdd0962c7e33ec79b06d10b340	255157	live
